SetID,Time of Application,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,First Payment Default
116,2018-04-06T18:49:09Z,CA,3250,1625,R,24,24,BiWeekly,235.3,06-04-2018,20-04-2018,TRUE
831,2018-03-16T10:31:34Z,CA,5000,5000,R,60,60,Monthly,117.65,16-03-2018,10-04-2018,TRUE
1143,2018-03-04T15:29:12Z,CA,4000,4000,R,12,12,Monthly,117.65,04-03-2018,21-03-2018,FALSE
861,2018-03-15T09:03:54Z,TX,8400,4200,R,29,54,BiWeekly,641.09,15-03-2018,23-03-2018,FALSE
1454,2018-02-21T12:48:29Z,TX,10000,5000,O,96,6,BiWeekly,642.19,21-02-2018,09-03-2018,TRUE
857,2018-03-15T10:26:10Z,TX,6000,3000,R,48,18,BiMonthly,256.82,15-03-2018,30-03-2018,FALSE
1979,2018-01-31T18:59:00Z,CA,1444,722,R,118,36,BiMonthly,235.3,31-01-2018,28-02-2018,FALSE
1837,2018-02-06T13:06:00Z,CA,10000,5000,R,12,6,BiWeekly,117.65,06-02-2018,23-02-2018,FALSE
611,2018-03-23T15:18:31Z,CA,1348,674,R,104,36,BiWeekly,300,23-03-2018,10-04-2018,FALSE
1056,2018-03-07T17:17:34Z,CA,3000,3000,R,12,18,Monthly,117.65,07-03-2018,07-04-2018,FALSE
1827,2018-02-07T19:10:00Z,TX,7318,3659,R,83,36,BiWeekly,641.23,07-02-2018,16-02-2018,FALSE
806,2018-03-17T10:25:50Z,TX,10000,5000,R,24,30,BiWeekly,642.73,17-03-2018,06-04-2018,FALSE
370,2018-03-30T21:04:03Z,CA,3000,1500,R,300,36,BiWeekly,300,31-03-2018,20-04-2018,FALSE
719,2018-03-20T11:16:05Z,CA,1876,938,R,95,36,BiWeekly,300,20-03-2018,30-03-2018,FALSE
997,2018-03-09T16:12:15Z,CA,2000,1000,R,173,36,BiWeekly,294.13,09-03-2018,30-03-2018,FALSE
691,2018-03-21T10:09:16Z,TX,3500,3500,R,99,21,Monthly,642.19,21-03-2018,06-04-2018,FALSE
796,2018-03-17T21:21:59Z,CA,12000,12000,R,50,36,Monthly,117.65,18-03-2018,03-04-2018,FALSE
722,2018-03-20T10:32:36Z,CA,10000,5000,R,109,49,BiMonthly,294.12,20-03-2018,30-03-2018,FALSE
368,2018-03-31T10:00:35Z,TX,2500,1250,R,12,60,BiWeekly,641.78,31-03-2018,13-04-2018,FALSE
246,2018-04-03T17:59:24Z,CA,1000,1000,R,60,6,Monthly,117.65,03-04-2018,01-05-2018,FALSE
118,2018-04-06T18:11:59Z,CA,2030,1015,R,36,36,BiWeekly,300,06-04-2018,27-04-2018,FALSE
62,2018-04-09T02:51:40Z,CA,2240,1120,R,42,36,BiMonthly,300,09-04-2018,20-04-2018,FALSE
710,2018-03-20T14:38:20Z,TX,6500,6500,R,36,30,Monthly,644.24,20-03-2018,20-04-2018,TRUE
1123,2018-03-05T12:38:05Z,TX,13000,6500,R,108,18,BiWeekly,385.47,05-03-2018,23-03-2018,TRUE
1807,2018-02-08T14:55:00Z,CA,8466,4233,R,23,36,BiWeekly,300,08-02-2018,16-02-2018,FALSE
59,2018-04-09T08:28:05Z,TX,5000,5000,R,60,60,Monthly,644.24,09-04-2018,10-05-2018,FALSE
446,2018-03-28T13:13:03Z,CA,5000,5000,R,12,6,Monthly,117.65,28-03-2018,10-04-2018,FALSE
1306,2018-02-26T23:17:34Z,CA,1788,894,R,156,36,BiWeekly,300,27-02-2018,14-03-2018,FALSE
1055,2018-03-07T17:17:39Z,TX,12000,6000,R,60,36,BiMonthly,641.23,07-03-2018,16-03-2018,FALSE
790,2018-03-18T12:42:49Z,TX,8666,4333,R,24,6,BiWeekly,641.64,18-03-2018,30-03-2018,FALSE
680,2018-03-21T15:13:50Z,TX,2000,2000,O,108,6,Monthly,386.3,21-03-2018,18-04-2018,FALSE
1764,2018-02-12T04:57:00Z,CA,1000,1000,R,47,3,Monthly,300,12-02-2018,02-03-2018,TRUE
1516,2018-02-19T14:29:11Z,TX,10000,5000,O,96,6,BiWeekly,642.46,19-02-2018,09-03-2018,TRUE
125,2018-04-06T14:26:45Z,CA,1692,423,R,112,15,Weekly,300,06-04-2018,20-04-2018,FALSE
764,2018-03-19T12:13:32Z,CA,2500,2500,R,87,36,Monthly,300,19-03-2018,30-03-2018,FALSE
1205,2018-03-01T16:08:30Z,CA,897,897,R,84,36,Monthly,264.71,01-03-2018,28-03-2018,FALSE
1201,2018-03-01T17:08:46Z,CA,3168,1584,R,3,6,BiMonthly,300,01-03-2018,15-03-2018,FALSE
357,2018-03-31T15:34:23Z,CA,2500,2500,O,12,6,Monthly,117.65,11-04-2018,01-05-2018,FALSE
1170,2018-03-02T20:53:31Z,CA,1600,400,R,18,36,Weekly,300,05-03-2018,16-03-2018,TRUE
1836,2018-02-06T13:19:00Z,CA,1800,900,R,114,36,BiMonthly,205.88,06-02-2018,26-02-2018,FALSE
1938,2018-02-01T20:56:00Z,CA,1960,980,O,194,36,BiWeekly,300,02-02-2018,14-02-2018,FALSE
725,2018-03-20T08:20:23Z,TX,2500,2500,R,60,36,Monthly,641.91,20-03-2018,03-04-2018,FALSE
1090,2018-03-06T10:13:55Z,CA,6600,3300,O,97,36,BiMonthly,205.88,06-03-2018,20-03-2018,FALSE
148,2018-04-05T19:52:36Z,CA,2500,1250,R,36,6,BiWeekly,117.65,06-04-2018,13-04-2018,FALSE
1366,2018-02-24T15:34:55Z,CA,890,890,R,39,30,Monthly,264.71,27-02-2018,29-03-2018,FALSE
1036,2018-03-08T13:46:37Z,CA,3000,3000,R,12,36,Monthly,117.65,08-03-2018,30-03-2018,FALSE
1513,2018-02-19T15:07:59Z,CA,5000,2500,R,60,6,BiWeekly,117.65,22-02-2018,02-03-2018,FALSE
1615,2018-02-14T15:41:00Z,CA,1286,643,R,108,36,BiMonthly,300,14-02-2018,02-03-2018,FALSE
1813,2018-02-08T13:33:00Z,CA,13000,6500,R,12,9,BiWeekly,235.3,08-02-2018,23-02-2018,FALSE
1598,2018-02-14T19:19:00Z,CA,1431,1431,O,111,36,Monthly,300,14-02-2018,16-03-2018,FALSE
1477,2018-02-20T15:45:41Z,CA,3200,3200,R,53,36,Monthly,300,20-02-2018,09-03-2018,TRUE
1628,2018-02-14T13:42:00Z,CA,2500,2500,R,12,6,Monthly,117.65,14-02-2018,02-03-2018,FALSE
409,2018-03-29T13:47:51Z,TX,2000,1000,R,36,60,BiWeekly,320.54,12-04-2018,20-04-2018,FALSE
682,2018-03-21T15:00:38Z,CA,2660,1330,R,14,36,BiWeekly,300,21-03-2018,09-04-2018,TRUE
1856,2018-02-05T20:44:00Z,CA,1430,715,O,294,36,BiWeekly,300,06-02-2018,16-02-2018,TRUE
1490,2018-02-20T12:49:24Z,CA,3000,3000,R,12,12,Monthly,117.65,20-02-2018,05-03-2018,FALSE
613,2018-03-23T14:02:59Z,CA,3000,3000,R,48,6,Monthly,117.65,23-03-2018,23-04-2018,TRUE
880,2018-03-14T15:12:24Z,CA,4500,4500,R,72,72,Monthly,294.12,14-03-2018,30-03-2018,FALSE
384,2018-03-30T13:01:26Z,CA,1080,540,R,70,36,BiWeekly,300,30-03-2018,20-04-2018,FALSE
9,2018-04-09T18:43:18Z,CA,2500,1250,R,12,12,BiMonthly,235.3,09-04-2018,23-04-2018,FALSE
741,2018-03-19T18:08:07Z,TX,10000,5000,R,12,30,BiWeekly,641.5,19-03-2018,30-03-2018,FALSE
1246,2018-02-28T13:46:12Z,TX,10000,5000,R,12,6,BiWeekly,642.6,02-03-2018,21-03-2018,FALSE
1608,2018-02-14T17:23:00Z,CA,1500,1500,O,96,6,Monthly,300,14-02-2018,04-03-2018,TRUE
1528,2018-02-17T14:43:36Z,CA,2000,500,R,86,12,Weekly,300,20-02-2018,02-03-2018,FALSE
1865,2018-02-05T17:30:00Z,CA,4500,4500,R,72,24,Monthly,235.3,05-02-2018,21-02-2018,FALSE
1117,2018-03-05T13:24:35Z,CA,2699,2699,O,120,36,Monthly,300,05-03-2018,30-03-2018,FALSE
972,2018-03-10T23:45:01Z,CA,2500,2500,R,48,6,Monthly,117.65,11-03-2018,06-04-2018,TRUE
1082,2018-03-06T14:56:10Z,CA,1620,810,R,251,36,BiWeekly,300,06-03-2018,16-03-2018,FALSE
903,2018-03-13T19:57:12Z,CA,5000,5000,R,24,24,Monthly,235.3,14-03-2018,04-04-2018,FALSE
822,2018-03-16T12:59:19Z,TX,10000,5000,R,36,36,BiWeekly,640.95,16-03-2018,23-03-2018,FALSE
1033,2018-03-08T14:12:47Z,CA,2590,1295,R,138,30,BiWeekly,300,08-03-2018,16-03-2018,TRUE
1978,2018-01-31T18:59:00Z,TX,3625,3625,R,60,60,Monthly,643.83,01-02-2018,28-02-2018,TRUE
1316,2018-02-26T17:20:57Z,TX,12000,6000,R,60,60,BiWeekly,641.5,26-02-2018,09-03-2018,TRUE
26,2018-04-09T15:21:36Z,CA,4000,2000,R,60,12,BiMonthly,235.3,09-04-2018,30-04-2018,TRUE
1815,2018-02-08T13:15:00Z,CA,3500,3500,R,108,6,Monthly,117.65,08-02-2018,28-02-2018,FALSE
282,2018-04-02T21:21:12Z,CA,1239,1239,R,52,15,Monthly,300,03-04-2018,03-05-2018,FALSE
1404,2018-02-22T18:13:50Z,CA,5000,5000,R,108,18,Monthly,235.3,23-02-2018,14-03-2018,FALSE
1023,2018-03-08T17:25:25Z,CA,4858,2429,R,42,36,BiWeekly,300,08-03-2018,23-03-2018,TRUE
1696,2018-02-12T19:53:00Z,CA,1578,789,R,60,36,BiWeekly,300,12-02-2018,23-02-2018,FALSE
1973,2018-01-31T20:51:00Z,CA,2192,548,R,24,36,Weekly,300,01-02-2018,14-02-2018,FALSE
1970,2018-02-01T02:53:00Z,CA,4500,2250,R,27,30,BiWeekly,300,01-02-2018,09-02-2018,FALSE
772,2018-03-19T11:10:58Z,CA,4400,2200,R,27,80,BiWeekly,235.3,19-03-2018,05-04-2018,FALSE
1545,2018-02-15T20:03:11Z,CA,800,200,R,8,36,Weekly,264.71,16-02-2018,23-02-2018,FALSE
1535,2018-02-16T18:18:02Z,CA,1780,890,R,72,36,BiWeekly,300,16-02-2018,09-03-2018,FALSE
1621,2018-02-14T14:32:00Z,CA,1431,1431,O,33,36,Monthly,300,14-02-2018,14-03-2018,FALSE
1294,2018-02-27T11:49:39Z,TX,10000,5000,R,65,7,BiWeekly,256.76,27-02-2018,13-03-2018,FALSE
106,2018-04-07T10:00:18Z,TX,5250,2625,R,24,6,BiMonthly,642.46,07-04-2018,25-04-2018,FALSE
1324,2018-02-26T15:55:49Z,CA,1500,1500,O,0,6,Monthly,117.65,28-02-2018,29-03-2018,TRUE
224,2018-04-04T10:47:00Z,CA,1836,918,R,136,36,BiWeekly,300,04-04-2018,17-04-2018,FALSE
1669,2018-02-13T13:54:00Z,TX,9000,4500,R,24,24,BiMonthly,642.05,15-02-2018,28-02-2018,FALSE
164,2018-04-05T15:49:50Z,CA,5500,2750,R,24,24,BiMonthly,235.3,05-04-2018,23-04-2018,FALSE
157,2018-04-05T17:07:21Z,CA,5000,2500,R,24,12,BiWeekly,235.3,05-04-2018,20-04-2018,TRUE
1460,2018-02-21T09:31:07Z,TX,7000,7000,R,24,24,Monthly,642.19,21-02-2018,09-03-2018,TRUE
479,2018-03-27T17:36:10Z,CA,5000,5000,R,36,30,Monthly,117.65,27-03-2018,27-04-2018,FALSE
181,2018-04-05T11:23:30Z,CA,3314,1657,O,362,36,BiWeekly,300,05-04-2018,20-04-2018,TRUE
1510,2018-02-19T16:09:30Z,CA,3000,1500,O,108,6,BiWeekly,117.65,19-02-2018,02-03-2018,FALSE
39,2018-04-09T12:43:38Z,CA,4500,2250,R,48,12,BiWeekly,235.3,11-04-2018,27-04-2018,FALSE
1504,2018-02-19T19:00:26Z,CA,1611,1611,R,44,36,Monthly,300,21-02-2018,02-03-2018,FALSE
1834,2018-02-06T17:10:00Z,TX,1280,640,R,36,3,BiWeekly,256.53,06-02-2018,16-02-2018,TRUE
763,2018-03-19T12:15:16Z,CA,5000,5000,R,12,12,BiMonthly,235.3,19-03-2018,02-04-2018,FALSE
131,2018-04-06T12:38:20Z,CA,3792,1896,R,24,12,BiWeekly,117.65,06-04-2018,27-04-2018,TRUE
674,2018-03-21T19:22:30Z,CA,3000,1500,R,36,6,BiWeekly,117.65,21-03-2018,06-04-2018,TRUE
180,2018-04-05T11:24:02Z,TX,3250,1625,R,24,24,BiWeekly,642.05,05-04-2018,20-04-2018,TRUE
1208,2018-03-01T15:31:05Z,TX,6000,6000,O,184,36,Monthly,643.83,01-03-2018,29-03-2018,TRUE
1127,2018-03-05T11:44:12Z,TX,12000,6000,R,60,36,BiMonthly,641.5,05-03-2018,16-03-2018,TRUE
1599,2018-02-14T19:18:00Z,CA,3600,1800,R,13,36,BiWeekly,300,14-02-2018,22-02-2018,FALSE
1763,2018-02-12T07:18:00Z,CA,4124,4124,R,35,30,Monthly,300,15-02-2018,28-02-2018,FALSE
1068,2018-03-07T04:39:00Z,CA,3000,1500,R,12,6,BiWeekly,117.65,07-03-2018,16-03-2018,TRUE
1406,2018-02-22T17:57:31Z,CA,2000,2000,R,36,36,Monthly,235.3,22-02-2018,25-03-2018,TRUE
1996,2018-01-31T15:07:00Z,CA,3600,1800,R,66,36,BiWeekly,300,31-01-2018,16-02-2018,FALSE
507,2018-03-27T09:56:52Z,TX,3000,1500,R,60,30,BiWeekly,385.39,27-03-2018,13-04-2018,FALSE
311,2018-04-02T13:22:58Z,CA,3746,1873,O,244,36,BiMonthly,300,02-04-2018,16-04-2018,FALSE
911,2018-03-13T18:02:13Z,CA,7250,3625,R,60,12,BiWeekly,117.65,13-03-2018,28-03-2018,FALSE
1419,2018-02-22T13:25:35Z,CA,5000,5000,R,48,48,Monthly,235.3,22-02-2018,25-03-2018,TRUE
184,2018-04-05T11:07:02Z,TX,2486,2486,R,60,12,Monthly,386.05,05-04-2018,30-04-2018,FALSE
402,2018-03-29T16:24:00Z,CA,1280,320,R,38,15,Weekly,264.71,29-03-2018,06-04-2018,FALSE
481,2018-03-27T17:29:07Z,TX,3500,3500,R,12,6,Monthly,644.24,27-03-2018,27-04-2018,FALSE
767,2018-03-19T11:58:11Z,CA,3200,1600,R,51,30,BiWeekly,300,22-03-2018,06-04-2018,FALSE
1663,2018-02-13T14:27:00Z,CA,3332,3332,O,281,36,Monthly,235.3,13-02-2018,26-02-2018,FALSE
1577,2018-02-15T13:38:52Z,CA,2000,2000,R,12,12,Monthly,235.3,20-02-2018,01-03-2018,FALSE
943,2018-03-12T16:52:37Z,CA,6292,1573,O,21,30,Weekly,300,12-03-2018,23-03-2018,FALSE
698,2018-03-20T19:08:30Z,CA,5000,2500,R,36,36,BiMonthly,235.3,20-03-2018,04-04-2018,FALSE
107,2018-04-07T09:20:05Z,TX,15000,7500,R,36,6,BiMonthly,642.32,11-04-2018,24-04-2018,TRUE
970,2018-03-11T11:37:33Z,CA,7000,3500,R,60,6,BiWeekly,117.65,11-03-2018,22-03-2018,FALSE
1789,2018-02-09T10:45:00Z,CA,2200,1100,R,38,30,BiMonthly,117.65,09-02-2018,28-02-2018,TRUE
1361,2018-02-25T11:31:23Z,TX,3000,3000,R,12,12,Monthly,644.24,25-02-2018,28-03-2018,FALSE
572,2018-03-25T11:35:32Z,CA,2500,1250,R,24,6,BiWeekly,235.3,25-03-2018,06-04-2018,FALSE
664,2018-03-22T12:30:10Z,CA,2820,1410,O,87,30,BiWeekly,300,22-03-2018,30-03-2018,FALSE
525,2018-03-26T14:59:20Z,CA,4400,2200,R,245,9,BiWeekly,176.47,26-03-2018,13-04-2018,FALSE
168,2018-04-05T14:35:22Z,CA,3000,1500,R,96,30,BiMonthly,235.3,05-04-2018,20-04-2018,FALSE
1910,2018-02-04T20:35:00Z,CA,4012,1003,R,62,30,Weekly,300,05-02-2018,16-02-2018,FALSE
1508,2018-02-19T17:03:19Z,CA,2663,2663,O,243,36,Monthly,300,19-02-2018,01-03-2018,FALSE
200,2018-04-04T22:09:49Z,CA,3680,1840,R,16,12,BiWeekly,300,05-04-2018,13-04-2018,FALSE
1132,2018-03-05T10:19:34Z,TX,1500,1500,O,108,6,Monthly,643.97,05-03-2018,03-04-2018,FALSE
460,2018-03-28T11:28:29Z,TX,6500,6500,R,60,30,Monthly,644.24,04-04-2018,28-04-2018,FALSE
188,2018-04-05T10:51:33Z,CA,2000,2000,R,108,12,Monthly,235.3,05-04-2018,06-05-2018,TRUE
281,2018-04-03T01:56:04Z,CA,4000,2000,R,12,6,BiWeekly,117.65,04-04-2018,13-04-2018,FALSE
1399,2018-02-22T20:36:15Z,CA,2498,1249,R,38,30,BiWeekly,300,23-02-2018,16-03-2018,FALSE
101,2018-04-07T13:26:39Z,CA,2000,1000,R,12,12,BiWeekly,235.3,07-04-2018,20-04-2018,TRUE
1525,2018-02-17T23:48:02Z,CA,2272,1136,R,50,3,BiWeekly,300,19-02-2018,02-03-2018,FALSE
1218,2018-03-01T12:38:41Z,CA,13000,6500,R,24,18,BiWeekly,117.65,01-03-2018,09-03-2018,FALSE
871,2018-03-14T17:54:22Z,CA,2500,2500,R,36,36,Monthly,117.65,15-03-2018,06-04-2018,FALSE
1261,2018-02-28T09:09:30Z,TX,7000,3500,R,14,14,BiWeekly,641.23,28-02-2018,09-03-2018,TRUE
1363,2018-02-25T11:18:25Z,TX,5000,2500,R,60,6,BiWeekly,641.64,25-02-2018,09-03-2018,TRUE
